397,450,62,47,-8599951
516,497,92,44,-8266510
651,392,67,45,-1436631
621,15,515,49,-7531808
47,606,402,44,-299376
592,97,426,45,-15228590
547,389,489,42,-3261536
364,553,616,42,-569481
675,360,440,46,-11646307
590,46,611,43,-2212867
372,0,497,44,-8180070
495,265,563,44,-9499453
193,267,497,45,-5111390
447,444,333,44,-12238870
153,495,402,42,-3219586
653,537,249,44,-8258340
525,600,673,45,-15884083
171,284,699,48,-65093
61,20,435,44,-8264529
550,-21,393,40,-6404237
274,185,658,47,-10878808
608,464,573,45,-5739777
372,68,176,49,-16558364
481,592,48,45,-14905189
-27,543,734,45,-14621763
29,132,382,49,-3282766
404,535,944,41,-4702911
206,100,510,45,-154735
-59,366,982,44,-7758815
-59,534,57,43,-29016
637,509,986,48,-4193267
215,-13,959,43,-2189032
563,292,106,44,-16612656
-66,308,293,48,-2166203
118,-37,318,47,-3764486
155,109,194,46,-8867646
622,648,416,44,-4230443
77,263,499,43,-10834241
385,137,298,48,-3483758
-87,618,973,43,-5518992
559,312,543,47,-6450077
55,145,139,41,-1368603
617,34,102,41,-13311750
120,96,401,40,-9632332
542,542,205,42,-5558484
109,146,199,49,-16077743
95,126,658,49,-15074326
125,380,628,43,-13049812
566,447,736,43,-5398918
667,11,395,47,-12082715
267,309,897,47,-14174552
-16,235,640,46,-1730468
137,173,461,48,-2587269
586,592,327,47,-15957829
173,601,78,47,-6169669
341,597,807,46,-13281713
-90,159,914,48,-1790567
-30,634,171,47,-12649751
660,319,229,44,-16062385
672,513,29,42,-8543938
-37,673,288,48,-11814003
-58,641,993,47,-16554822
73,587,772,42,-9778379
62,499,510,46,-12935126
442,626,239,44,-1341386
-18,632,934,43,-318812
166,530,247,40,-75792
472,70,434,42,-9789848
544,192,631,43,-10962688
278,691,903,44,-10066485
180,503,255,42,-15676068
440,613,668,48,-6829477
45,715,780,45,-7909307
532,700,795,47,-11826618
301,384,990,42,-15139901
255,701,327,43,-7464309
583,187,827,42,-9700995
294,539,458,43,-12140148
-104,117,483,45,-2034084
477,585,372,44,-9537209
204,415,955,48,-859456
662,50,835,44,-14494029
131,404,843,49,-720216
134,265,347,46,-7571144
-114,472,535,45,-9997812
160,530,517,41,-9546855
85,144,434,45,-65527
412,386,923,49,-11297391
589,672,301,40,-13973972
-71,431,219,40,-1096337
204,255,57,41,-6010515
113,216,653,42,-1450723
18,339,600,48,-12146531
-105,438,730,49,-11497743
474,735,38,42,-11343424
231,294,41,47,-15493420
557,606,341,40,-14078257
151,173,874,44,-13352995
-68,653,846,42,-11198728
5,628,141,40,-11781213
152,718,542,47,-5354256
574,145,689,48,-4516579
464,349,669,46,-541964
-86,30,893,47,-11495529
205,210,273,43,-8086809
290,617,6,47,-12336289
667,508,998,44,-3682245
30,462,426,48,-10650614
532,653,325,49,-7887047
556,29,648,45,-10074116
-94,-32,265,45,-4395330
80,445,728,43,-5037439
456,543,30,47,-10255953
481,468,16,48,-7148218
25,38,790,46,-9482105
180,188,548,49,-12626340
-15,223,310,45,-16739396
68,379,262,49,-7742651
552,740,772,40,-13553968
-85,498,594,47,-1184127
438,37,601,44,-6517870
-47,40,570,41,-952078
210,585,572,46,-14716687
491,287,763,43,-5331039
194,-31,846,40,-4678820
545,517,592,49,-12544913
76,127,247,49,-11761843
15,138,884,45,-1081779
665,303,115,41,-4329350
368,477,379,44,-8689396
272,476,924,48,-10977560
75,442,38,45,-2385101
511,365,881,42,-11888105
380,221,206,40,-4813964
200,316,267,43,-2729048
432,12,874,45,-9819532
658,594,79,44,-1618385
317,279,39,49,-9995165
535,284,38,40,-9483579
585,606,250,48,-11372497
298,426,528,49,-2457492
-13,628,795,49,-4294161
603,689,215,46,-14039078
70,642,499,49,-4836072
510,152,374,40,-8207200
329,468,258,45,-7452088
-83,337,995,46,-14290129
508,298,91,45,-257982
339,145,788,49,-14622864
-36,11,43,47,-10439038
251,692,27,47,-10625564
82,85,226,45,-1734292
218,600,199,40,-12813404
40,578,843,45,-509914
292,243,75,46,-6976184
217,368,155,42,-329625
563,112,14,41,-14180987
165,373,857,43,-5668255
336,419,482,47,-1390892
51,680,671,46,-13575883
120,164,295,43,-2228366
18,544,347,41,-6471199
-59,463,110,49,-10871102
384,288,972,48,-4921020
-100,709,1,42,-13507542
571,724,107,40,-14436850
26,115,614,41,-12938774
308,166,448,48,-11892534
62,123,515,43,-114739
215,455,401,46,-11384853
598,-4,625,48,-10838412
100,442,192,40,-2965391
365,675,666,41,-16512069
79,201,504,49,-714255
266,75,101,45,-11588758
-18,692,824,49,-2308665
-14,648,936,40,-9840300
484,572,103,49,-5087370
36,244,584,42,-5530587
247,200,304,44,-13008293
63,624,35,42,-16095592
210,561,829,41,-9513742
500,338,714,41,-2677602
-109,522,300,46,-3938008
-90,-14,857,47,-1920719
35,145,100,40,-9120927
264,280,724,42,-5093254
178,691,172,46,-9048114
524,278,503,49,-15940791
16,427,596,45,-16529869
-117,238,0,42,-2065489
43,58,47,43,-10340765
-55,291,904,43,-8780056
27,703,988,41,-11811746
299,408,797,41,-861348
30,324,582,40,-3776702
34,177,476,47,-4428649
298,587,568,41,-1554839
-10,720,449,48,-3610584
136,107,992,43,-2815883
60,126,574,46,-14393901
320,74,551,47,-4290755
-93,209,466,46,-10827017
537,292,721,47,-5310070
634,329,501,41,-5680984
29,424,412,40,-15077821
-8,219,465,49,-1645042
404,93,656,45,-10700387
25,570,979,46,-3256963
-73,332,181,44,-15018016
61,299,112,45,-2482340
204,101,430,48,-2644933
186,75,170,42,-14821708
491,599,598,47,-8526070
398,38,614,46,-13632214
443,742,375,47,-1749834
633,640,803,46,-10120426
-31,481,206,41,-11189944
473,629,466,44,-13184356
492,216,857,42,-4338601
414,353,694,49,-338397
371,665,945,40,-4344127
281,38,582,41,-13257923
68,112,639,43,-8251797
604,162,998,41,-3534048
410,344,566,46,-5732523
93,720,543,47,-1906680
382,350,314,43,-575560
353,37,274,49,-12210685
565,600,893,47,-8085887
11,71,303,44,-15358818
-90,258,19,43,-2419968
514,606,421,46,-6201599
573,120,344,42,-11712798
286,330,705,47,-4293078
